text,label,source,confidence
"trasencodau | Bít tết, Cháo đậu đỏ cá bống, Phụ thu do Ăn không Uống",Ăn uống,manual,1.0
VinCommerce | NƯỚC Isotonic 7 Up Revive chai500ml,Ăn uống,manual,1.0
"CỬA HÀNG NĂM OÁNH | Cháo Sườn hầm đậu xanh 50g, Cháo Tổ Yến TN 50g, Cháo Tổ Yến Thịt 50g, Núm Pigeon L trắng",Ăn uống,manual,1.0
"THE COFFEE HOUSE | Cà Phê Sữa Đá (Vừa), Bánh Mì Gà Kim Quất (Cay)",Ăn uống,manual,1.0
"Công ty XNK Thanh Hà | Bố trí sảnh tiệc, Dịch vụ ăn uống, Dịch vụ dọn dẹp",Ăn uống,manual,1.0
"PARIS LEVAIN | Latte / Cà phê Latte Cold / Đá, Cappuccino / Cà phê Cappuccino - Hot / Nóng, Peach Creamcheese Pastry",Ăn uống,manual,1.0
"MINIMART ANAN | bột yến mạch good oats gói NC, Sữa chua đường VNM 100g NT, Bánh mì ruốc stass hải châu NT",Ăn uống,manual,1.0
"Co.opMart XA LO HA NOI | Suatt DLADYcaokhoe cd goi, SDN FAMI canxi bich 200ml, Choco KITKAT Greentea 8x1, B.CHOCO-PIE Lotte txanh h, Tao Fuji Nam Phi kg, Tao do New Zealand kg, Ca chua Kg, Thanh Long PThiet L1, Trung ga 10t/hop-V.food",Ăn uống,manual,1.0
"Xôi xéo, Xôi ngô, Quả, Gà xào nấm",Ăn uống,manual,1.0
"MINIMART ANAN | Thạch rau câu Long Hải vị 5 NT, Bánh Custas 6p 138g NT, Bánh Custas 12p NT, kẹo lạc,đổi vừng siu châu. NT, Thạch joy VF hoa quả 800g NT, kẹo bibica chewgum gói 270g N0, kẹo sữa alpenliebe 360g NT, bánh gạo an gói 151g N0, Thạch sữa chua vf, odeli 1k NT, kẹo chanh muối vitamin c Th N0",Ăn uống,manual,1.0
"CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ LANDMARK ONE | Gà đồi nướng mắc khén, Cá Hồi Sa Pa tươi sống, Trà sâm dứa, Trâu cháy tiêu xanh, Măng trúc xào nấm, Lợn gác bếp, Rau cải luộc chấm trứng",Ăn uống,manual,1.0
"MINIMART ANAN | nước giặt omo matic cửa trẻ NO, Xã Comfort 1.6L túi NT, giấy ăn rút ella gói 250 tờ NO, dg sunsilk natural hoa thiê NO, Bánh mì ruốc xúc xích kd NT, chả viên hương tôm trí thàn NO, Mì chính ajingon 1.8kg NT, Bột canh hải châu 190g NT, hướng dương 0.4kg NT",Ăn uống,manual,1.0
"MINIMART ANAN | bánh que oishi akiko160g NO, bánh que mini waf 330g NT, thạch long hải caramen 1kg NO, Mì cốc moder lẩu NT",Ăn uống,manual,1.0
"Saigon Co.op | Chuoi tieu song, Bi ngoai xanh, Chuoi Tieu Hong",Ăn uống,manual,1.0
"MINIMART ANAN | Bột làm thạch NT, Bánh Chocopie 6p 180g NT, nước dừa, táo, xoài chabaa NO",Ăn uống,manual,1.0
"MINIMART ANAN | Sữa bột pedia NT, Thuốc lá 3 số 555 NT, Kem merino super teen NT, kem merino celano trân châu N0",Ăn uống,manual,1.0
"VINH NGUYEN RES | Coca, Sprite, Coca, Tonic, Soda",Ăn uống,manual,1.0
"ỐC VÒI VOI / ELEPHANT CLAM, TÔM HÙM BÔNG TỪ 0.7KG < 1KG / CRAYFISH 0.7KG < 1KG, CÁ CHÌNH / SEA EEL, NƯỚC ÉP CHANH DÂY / PASSION FRUIT JUICE, CÀ PHÊ ĐEN - BLACK COFFEE, SODA XOÀI / MANGO SODA, BIA TƯƠI TIGER 500ml, SINH TỐ XOÀI / THƠM / MANGO / PINEAPPLE SMOOTHIE",Ăn uống,manual,1.0
"Trà mạn (ice/hot) Viet nam Green tea, Cà phê Vivienne Vivienne coffee, Nước hoa quả tự chọn Mix juice, sinh tố bơ Avocado smothies, hạt hướng dương Sun flower seeds",Ăn uống,manual,1.0
"Co.opMart XA LO HA NOI | Stuoi ttTH it duong goi22, Tao hong Queen NewZealand, Bo sap loai 1 kg, Mi OMACHI tom c.cay 5 sao, Mi OMACHI s.ham n.qua 80g, Luoi rua chen bon mua 17x, BCDR P/S long to m.mai, Mi ktayOMACHI sot spa bo, Trung ga goc COOP 4T/hop",Ăn uống,manual,1.0
"MINH HIỀN VEGETARIAN RESTAURANT | 333, Hoi An Special Noodle, Sauteed Hoi An Special Noodle",Ăn uống,manual,1.0
"SIÊU THỊ MINH LOAN | Sữa TH gói ít đường, sáp thơm Airbipur hương hoa hồng, Bánh mỳ Hoa Cúc 210g",Ăn uống,manual,1.0
"NHẬU BÌNH DÂN CÁC MÓN HẢI SẢN | Tiger, Mực xào, Tsú",Ăn uống,manual,1.0
"VinCommerce | Cải xanh (cải canh) L1 Vineco 18.200/KG x 0,518 KG, ARGO Rong biển trộn cơm Argo gói 50g T30, MIWON Rong biển giòn trộn gia vị 50g T20, CP_Thịt heo xay 300g, Tím gà CP 500g, SLIDE Snack k.tây tự nhiên 75g (T28)",Ăn uống,manual,1.0
"Nhà hàng Bảo Trang (Cơ sở 1) | Cá hồi NaUy, Bánh xèo nhật, Dưa muối tổng hợp, Sushi cá ngừ",Ăn uống,manual,1.0
"Café Mộc Lan | Bò Húc, Café Đen, Café Sữa, Kem, Nước Cam, Nước Chanh, Sâm Dứa, Sữa Chua",Ăn uống,manual,1.0
"CƠM GÀ BẢO NGỌC | Gà rang muối nửa con, Trà sâm dứa ca, Lẩu riêu cua gà truyền thống 279k, Dưa chẻ, Ngô chiên, Bia Sài Gòn, Rau muống xào 40k, Bò ta 99k, Mọc, Gà quay lu nhỏ",Ăn uống,manual,1.0
"Saigon Co.op | Rau muong, Thit xay pha loc, Dau hu trang",Ăn uống,manual,1.0
"CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN THƯƠNG MẠI AN SƠN | Mì Omachi quán xá Châu á bò Đài Loan 12 hộp x 95gr, Nước mắm Nam Ngư (QR) 15chai x 900ml, Tương ớt CHIN-SU MB (QR) 3bl x 8chai x 250gr, Tương ớt CHIN-SU MB (QR) 2bl x 6chai x 500gr",Ăn uống,manual,1.0
